;Id;Immobilisations incorporelles;Immobilisations corporelles;Actifs financiers non courants;Stocks et travaux en-cours;Créances clients et comptes rattachés;Trésorerie et équivalents de trésorerie;Total actif;Capitaux propres;Provisions pour risques et charges non courantes;Dettes financières non courantes;Dettes financières courantes;Fournisseurs et comptes rattaches;Total passif;Chiffre d'affaires;Produits des activités ordinaires;Résultat opérationnel;Coût de l'endettement financier net;Quote part resultats des Sociétés Mises en Equivalence;RN des activités abandonnées;Résultat net;total des passifs courants;Fonds de roulement;EBIT;sales;A;B;C;D;E;scoring;Approval;RAF1;RAF2;RFD;RLG;RLR;RFI;DPC;RCP;TRN
657;658;1261600;3680000;436000;2367;5953000;4987000;11074800;1426100;0;1857900;9075;653484;11074800;-2160,663298;105,8272125;-209,8892305;-103,903976;128,1803159;-17,53904581;-1831,713854;662455,096;10933292;-2266,490511;-2160,663298;0,987222523;-0,000165395;-0,000204653;0,12876982;-0,000195097;1,260826915;0;0,12876982;0,767587061;0,168578665;1205,770468;1205,509642;7,532110092;-1005637,945;-0,001284422;0,847755342
658;659;65831;3619000;665000;915;5626000;8443000;9963200;1403400;172;2301800;0;0;9963200;-1933,585324;119,0761056;-167,5699475;-73,03591793;129,3497346;178,0208238;-2535,039636;-73,03591793;14069915;-2224,66143;-1933,585324;1,412188353;-0,00025444;-0,000223288;0,140858359;-0,000194073;1,7778539;0;0,140858359;0,609696759;0,231030191;inf;inf;5,571729323;-1062011,577;-0,001806356;1,311056515
659;660;70467;820500;645000;1253;1015800;10315000;5153000;33442000;0;2285800;51875;4148000;5153000;2836,11018;91,32043493;3051,28278;209,3584872;93,44086233;501,5509328;-1140,847774;4200084,358;11280178;2744,789745;2836,11018;2,18905065;-0,000221395;0,000532659;6,48981176;0,00055038;6,522746037;1;6,48981176;14,63032636;0,453653212;218,4492145;218,4250602;55,39193798;130730,8167;-3,41E-05;-0,402257917
660;661;85153;839500;776000;0;1087200;6925000;4478000;36145000;163000;365167;54839;4142000;4478000;3523,957751;89,90718291;4202,622764;3;93,1899139;218,5491862;-455,7803785;4196842;7957361;-159565,9494;3523,957751;1,776989951;-0,000101782;-0,035633307;8,071683787;0,000786949;6,858452754;1;8,071683787;98,98210956;0,093793211;146,10405;146,10405;47,04918428;112608,6145;-1,26E-05;-0,12933764
661;662;80575;1248000;63200;0;1159700;9427000;4324000;35331000;124000;380599;42522;4215000;4324000;3485,410671;99,30148926;3863,74531;204,423693;91,92993989;376,6867149;-1123,319118;4257726,424;10544178;-120613,8908;3485,410671;2,438524052;-0,000259787;-0,027894054;8,170906568;0,000806062;7,737164784;1;8,170906568;92,82998642;0,09785407;248,969945;248,969945;565,0569462;121446,3775;-3,18E-05;-0,322291754
662;663;0;1219500;127500;0;965400;13915000;4266000;25338000;123000;485238;68798;4664000;4266000;2238,769433;114,8213527;1816,893668;244,6758644;100,5663853;727,3341547;-1939,221348;4733042,676;14811602;-120876,0519;2238,769433;3,472011721;-0,000454576;-0,028334752;5,9395218;0,000524794;7,63651085;1;5,9395218;52,21767463;0,12987248;216,2911713;216,2911713;202,5352;157394,9487;-7,65E-05;-0,866199672
663;664;91063;220427;200400;0;136533;27807;81702272;4163600;95400;487729;3300000;905800;81702272;-17022,30094;50;-1945,220335;106,0044662;48,34150855;-1,126858628;801,0931854;4205906,004;-3135660;-112472,3009;-17022,30094;-0,038379104;9,81E-06;-0,001376612;0,050960639;-0,000208346;-0,020215978;0;0,050960639;8,536707885;0,046360143;0,0498;0,0498;23,21022455;-2927,603335;0,000192404;-0,047061392
664;665;86346;225640;189000;200;157184;35605;90859562;4232200;44700;0;448000;1029900;90859562;-18995,82066;62,23980018;-1783,973493;84,09756977;93,69513612;-186,513394;665,9443636;1477984,098;-255011;-63758,06046;-18995,82066;-0,00280665;7,33E-06;-0,000701721;0,046579577;-0,000209068;0,02206528;0;0,046579577;inf;0,004930686;0,430779018;0,430332589;22,39259259;-3020,251719;0,000157352;-0,035057415
665;666;81547;268425;52201;3200;179480;18544;75926235;4235300;41200;67515;3198000;1044800;75926235;-15714,21197;58,20143563;-1758,477114;105,3995303;50,44917256;-11,99075519;818,2299339;4242905,4;-2996776;-56972,41341;-15714,21197;-0,039469572;1,08E-05;-0,000750365;0,055781773;-0,000206967;-0,016562508;0;0,055781773;62,73124491;0,043009047;0,062921826;0,061921201;82,42782705;-4168,850473;0,000193193;-0,052069422
666;667;79757;313768;49647;20100;171023;31831;76764091;3794800;16800;53358;3375000;1260300;76764091;-15968,59771;58,07391202;-1984,369318;107,4165307;47,89150284;8,953268238;872,3739757;4635407,417;-3152046;-32826,67162;-15968,59771;-0,041061465;1,14E-05;-0,000427631;0,049434572;-0,000208022;-0,021216307;0;0,049434572;71,11960718;0,04466096;0,066060444;0,060104889;77,51038331;-3909,134423;0,000229887;-0,054630594
667;668;63000;0;50881;30400;0;32552;12115739;-628000;14000;38751;14156;94577;12115739;-2357,598272;131,4470436;357,8405784;88,30850916;110,1287067;-57;742,1331091;108821,3085;48796;-16489,04532;-2357,598272;0,004027489;6,13E-05;-0,001360961;-0,051833404;-0,00019459;-0,030867062;0;-0,051833404;-16,20603339;0,004366799;4,447018932;2,299519638;-11,58092412;0;-0,001181741;-0,314783531
668;669;55000;806;43139;24554;9495;23975;13210924;-368000;711;23416;18486;95673;13210924;-2562,106422;130,4492132;356,6940592;87,81717396;109,8171405;-231,5254655;740,1032442;114246,8172;39538;-3403,555635;-2562,106422;0,002992826;5,60E-05;-0,000257632;-0,027855735;-0,000193938;-0,014087742;0;-0,027855735;-15,71574991;0,003171769;3,138807746;1,810559342;-7,987760495;-1352,666295;-0,00201115;-0,288865145
669;670;48000;1292;0;37281;12310;27643;14156535;-356000;1492;257000;19257;123185;14156535;-2798,601857;130,0317678;269,1020756;84,00331762;109,098829;-228,1610444;743,3396014;142526,0033;57977;-4420,633625;-2798,601857;0,004095423;5,25E-05;-0,000312268;-0,025147397;-0,00019769;-0,011328593;0;-0,025147397;-1,385214008;0,01951445;4,010697409;2,074726074;#NOM?;-1605,498113;-0,002088033;-0,265611058
670;671;44500;1769;526;43149;16306;59762;0;-719000;1671;249000;51086;0;0;254,7172526;140,9538255;705,4116205;86,46846293;110,2060213;-228,5604648;751,9415092;51172,46846;68131;-1557,236573;254,7172526;inf;inf;#NOM?;#NOM?;inf;;0;#NOM?;-2,887550201;inf;2,333653056;1,489018518;-893,5361217;23365,86917;-0,001045816;2,95206352
671;672;2706800;1263;260;41188;12229;362116;3714596;41856591;0;282000;15889;0;3714596;4879,920515;33,52087913;7073,767881;192,0150745;78,24255652;-228,9086597;132,2826919;16081,01507;399644;4846,399636;4879,920515;0,107587474;3,56E-05;0,001304691;11,26814087;0,001313715;6,895658541;1;11,26814087;148,4276277;0,080194185;26,15224369;23,56001007;162071,5038;914,6839556;3,16E-06;0,027107551
672;673;2387000;232000;291;0;468000;471936;4412197;48516458;5779;30200;133529;5765;4412197;5573,441938;28,23030686;8114,428968;-997;73,18417882;-261,3269251;-18,13184343;138297;806407;-233,788369;5573,441938;0,182767678;-4,11E-06;-5,30E-05;10,99598635;0,00126319;6,817995605;1;10,99598635;1606,505232;0,037108271;7,039189989;7,039189989;166827,0034;30648,92429;-3,74E-07;-0,003253258
673;674;2436300;166000;916;0;481000;465896;4651828;41593341;5010;4223100;138921;2762;4651828;4135,637551;30,54876709;6248,167021;128,4724919;73,31164334;-172,3409064;113,1189597;141811,4725;807975;-904,9112163;4135,637551;0,173689784;2,43E-05;-0,000194528;8,941289532;0,000889035;5,573482596;1;8,941289532;9,849006891;0,937700405;6,816075323;6,816075323;50017,94869;42451,73757;2,72E-06;0,027352242
674;675;2420900;135000;213000;0;445000;0;5747086;39554464;5104;3413800;37461;3116;5747086;3732,759833;32,51982757;6105,355717;134,5055321;78,17615082;-213,6713923;242,3340509;40711,50553;407539;-1403,759995;3732,759833;0,070912285;4,22E-05;-0,000244256;6,882525161;0,000649505;4,214512332;1;6,882525161;11,58663776;0,600523639;11,87902085;11,87902085;201,728939;43513,38079;6,13E-06;0,064920879
675;676;44371;124400;180000;0;416500;3045000;74956;2451929;5647;3908500;10974;3625;74956;198,7506669;128,0435;316,8006815;70,42163833;200;13,85997898;45,27952582;14669,42164;3450526;-5576,292833;198,7506669;46,03401996;0,000604081;-0,074394216;32,71157746;0,002651564;74,62576679;1;32,71157746;0,62733248;52,29033033;315,4273738;315,4273738;35,33571667;764890,5153;1,85E-05;0,227820749
676;677;43132;6545900;177000;0;458100;2361000;68777;2494984;555000;3766900;7015;527000;68777;170,2381897;131,8567089;1347,550906;586;72;-126,4804447;-299,6548063;534601;2812085;-554961,6185;170,2381897;40,88699711;-0,004356904;-8,06900008;36,27642962;0,00247522;44,19892959;1;36,27642962;0,662344103;54,87175945;401,8674269;401,8674269;35,37787571;982191,483;-0,000120103;-1,760209074
677;678;52913;6071600;140400;25991;440700;3592000;71748;2684472;477000;51870;39335;559000;71748;666,0532877;137,3381627;1844,860434;141,6701715;120,4622359;-91,13435587;-603,0874216;598476,6702;4019356;-476471,2849;666,0532877;56,0204605;-0,008405634;-6,640899884;37,41528684;0,009283231;67,75627043;1;37,41528684;51,75384615;1,27118526;103,1826872;102,521927;19,48961538;241505,4516;-0,000224658;-0,905464222
678;679;0;6014300;114300;28232;443100;6895000;108100;0;491000;46948;27653;495000;108100;360,0782821;141,3438518;1234,207972;169,0284478;123,5052223;133,6107868;-1357,122576;522822,0284;7338679;-490781,2656;360,0782821;67,88787234;-0,012554325;-4,540067212;0;0,003330974;66,46897993;1;0;0;0,690111008;266,3845514;265,3636134;0,410743657;449156,4975;#NOM?;-3,768965372
679;680;139;6109600;338000;32210;431500;1001000;31058000;1986435;428000;67410;368800;472800;31058000;-6198,530202;110,9977393;896,4573751;114,5829643;112,8177966;-235,7518384;-52,35324522;841714,583;1095910;-434309,5279;-6198,530202;0,035285917;-1,69E-06;-0,013983821;0,063958883;-0,000199579;0,03436988;0;0,063958883;29,46795728;0,014045013;3,971556399;3,884219089;6,076464497;-25408,84611;-2,64E-05;0,008446074
680;681;167;11403;311300;35556;42503;1175000;32247000;2078430;8382;0;273600;195500;32247000;-6407,32547;108,4334803;-8,993313128;106,2610322;103,836343;-138,1797424;464,85195;469206,261;979459;-14897,75895;-6407,32547;0,030373647;1,44E-05;-0,000461989;0,064453438;-0,000198695;0,073417362;0;0,064453438;inf;0,00848451;4,579894006;4,449937865;6,676614199;-2421,22787;0,000223655;-0,072550076
681;682;734;13849;315000;58187;72254;1435000;40620000;2334017;9385;1258984;452900;139700;40620000;-8349,714662;98,0488771;-496,8524295;94,48292833;98,40192284;-91,18134924;398,9443972;592694,4829;1112541;-17832,76354;-8349,714662;0,027388996;9,82E-06;-0,000439014;0,057459798;-0,000205557;0,065702119;0;0,057459798;1,853889327;0,04214387;3,456482667;3,328006182;11,40635238;-3158,516317;0,000170926;-0,047779405
682;683;1258;34295;818;62939;82839;1804000;39531000;2593627;21431;1426164;302000;113700;39531000;-8090,444529;102,5709894;-448,8198382;87,52823419;98,9677337;-82,2219959;267,4454999;415787,5282;1647778;-29624,01552;-8090,444529;0,041683185;6,77E-06;-0,000749387;0,065609952;-0,000204661;0,086717627;0;0,065609952;1,818603611;0,043716678;6,456218543;6,247811258;4914,169927;-3737,277339;0,000103116;-0,03305696
683;684;4304;0;891;74250;0;538600;42917000;32961;19344;1162360;332159;81000;42917000;-9123,857003;103,9814352;-808,158311;76,59411627;-144;-161,2892726;575,3403915;413235,5941;280691;-28571,83844;-9123,857003;0,006540322;1,34E-05;-0,000665746;0,000768017;-0,000212593;0,005918409;0;0,000768017;0,028356963;0,034823473;1,845050112;1,621512589;1341,549944;0;0,017455186;-0,063058901
684;685;3261;185691;1055;0;13675;612700;44042000;34024;57588;1442581;337412;57829;44042000;-9396,817074;102,5429196;-825,9242094;74,79016499;100,0895554;-154,9022378;528,324331;395315,7902;288963;-67087,35999;-9396,817074;0,006561078;1,20E-05;-0,001523259;0,000772535;-0,00021336;0,003113495;0;0,000772535;0,023585504;0,040415808;1,856409968;1,856409968;1399,625592;-531,1772019;0,01552799;-0,056223754
685;686;1539;168444;0;12737000;16844;785500;49983000;34087;89657;57606;332466;83540;49983000;-11270,5191;99,74502875;-3660,910876;27,28567942;-13,78952962;-600,3042787;1052,501637;416033,2857;13206878;-101027,2641;-11270,5191;0,264227397;2,11E-05;-0,002021233;0,000681972;-0,000225487;0,310615986;0;0,000681972;0,591726556;0,007804093;40,72399584;2,413311436;inf;-545,4992751;0,030876922;-0,093385374
686;687;2933;40868;404;10559000;22719;1769400;48626000;28590;101310;61049;435351;100948;48626000;-10838,15225;100,0021997;-3221,346313;48,35281325;4,488943918;-452,8380903;739,3823581;536347,3528;11915768;-112248,1545;-10838,15225;0,245049315;1,52E-05;-0,002308398;0,000587957;-0,000222888;0,286592639;0;0,000587957;0,468312339;0,01020853;28,37048497;4,11649221;221,8787129;-765,1151974;0,025861573;-0,068220333
687;688;511000;75837;2555;9528000;24235;53459;99826000;6809000;107349;47230;2448;0;99826000;-21080,98443;44,79302948;-3332,419351;39,07478177;9,963313552;-560,5552984;807,7371579;2487,074782;9603246;-128474,7775;-21080,98443;0,096199848;8,09E-06;-0,001286987;0,068208683;-0,000211177;0,15191812;0;0,068208683;144,1668431;0,000497646;3923,894608;31,7377451;2683,455969;-419,6091994;0,000118628;-0,038315913
688;689;704000;163356;341;8094000;19621;67424;111408000;10624000;156924;22188;13415;8912;111408000;-23033,55693;27,17112127;-2742,679009;53,42798754;18,78835833;-517,7182623;646,2039426;22380,42799;8167630;-179984,7281;-23033,55693;0,073312778;5,80E-06;-0,001615546;0,095361195;-0,00020675;0,139662121;0;0,095361195;478,8173788;0,000319573;609,8430861;6,488632128;31220,49267;-310,9231032;6,08E-05;-0,028054892
689;690;801000;207134;351;2455;30441;92276;112736000;12301000;133707;3011000;14025;8194;112736000;-23005,14116;17,69138832;-1253,350889;65,66144973;87,04764995;-191,6439424;291,4309227;22284,66145;111147;-156729,8325;-23005,14116;0,000985905;2,59E-06;-0,001390238;0,109113327;-0,000204062;0,061862855;0;0,109113327;4,085353703;0,026832822;8,924919786;8,749875223;43623,93162;-482,9774755;2,37E-05;-0,012668078
690;691;673000;210396;4215;2220;26841;105265;114529000;12750000;104985;3537000;0;10716;114529000;-23411,46596;16,9349102;-1355,127817;58,83569809;86,19795025;-185,5234329;311,6570494;10774,8357;134326;-128413,4009;-23411,46596;0,001172856;2,72E-06;-0,00112123;0,111325516;-0,000204415;0,06430207;0;0,111325516;3,604749788;0,030883008;inf;inf;3864,05694;-418,4686691;2,44E-05;-0,013312154
691;692;4009;224050;1162;2711;31626;0;793866;18852000;99141;3902000;1961;11834;793866;2068,892462;107,0613131;3134,422368;77,45358721;92,40903052;17;678,1160774;13872,45359;32376;-97179,16885;2068,892462;0,040782701;0,000854195;-0,122412559;23,74708074;0,002606098;13,89702821;1;23,74708074;4,831368529;4,917657388;17,50994391;16,12748598;19581,75559;5579,550513;3,60E-05;0,327767678
692;693;6777;590000;1370;340;3486000;25975;871226;18262000;355900;6101000;1775;22927;871226;1642,132781;104,7613511;2603,260406;-100,6105018;97,13637284;29;-66,34860431;24601,3895;3510540;-354362,6286;1642,132781;4,029425201;-7,62E-05;-0,40674019;20,96126608;0,001884853;16,0716055;1;20,96126608;2,99327979;7,004812758;1978,769014;1978,577465;17783,21168;774839,9001;-3,63E-06;-0,040403922
693;694;30008;619000;1474;1267132;3505000;26996;906758;19780000;518300;102970;3709;20441;906758;2498,347931;111,5215897;3782,969544;-42,50011576;91,43422604;-491,9586105;-186,3040909;24107,49988;4795419;-515913,1737;2498,347931;5,288532332;-0,000205462;-0,568964568;21,81397903;0,002755253;17,55951075;1;21,81397903;192,0947849;0,11764881;1293,914263;952,2771637;13489,12483;512068,3889;-9,42E-06;-0,074570915
694;695;66706;684000;731000;1303992;3810000;27979;1066137;18203000;434300;59615;0;20379;1066137;2251,003146;105,0279307;3490,173447;-39,84155489;97,07485648;-477,5129577;-152,9079855;20339,15845;5141971;-432154,0248;2251,003146;4,82299273;-0,000143422;-0,405345678;17,0737907;0,002111364;14,69613553;1;17,0737907;305,3426151;0,055916829;inf;inf;24,98305746;617791,2289;-8,40E-06;-0,067928819
695;696;66438;566000;769000;1478418;3477000;32765;1403905;58258000;377400;191453;331686;29291;1403905;7162,577193;43,84343145;9513,486349;36,76115296;-859;-547,4690445;-289,5702329;361013,7612;4656497;-370281,2662;7162,577193;3,316817733;-0,000206261;-0,263750942;41,49710985;0,005101896;28,01288221;1;41,49710985;304,2940043;0,372631339;15,0388711;10,58158921;76,00709103;177185,525;-4,97E-06;-0,040428218
696;697;69388;113475;1651000;1643955;39975;183000;1571461;59035000;414300;191299;321360;2112000;1571461;7064,987691;40,41369489;8967,421985;222,9900953;55,36541993;-366,7036074;934,2371722;2433582,99;1545570;-407275,426;7064,987691;0,983524249;0,000594502;-0,259169923;37,56695203;0,004495808;22,87046768;1;37,56695203;308,6006722;0,326230813;5,809466019;0,693848021;35,87298546;2065,237144;1,58E-05;0,132234791
697;698;80773;134343;1209000;471000;56823;206000;1820421;59108000;341200;1981520;392180;2226000;1820421;6865,594736;42,24246058;8774,235165;199,7427661;60,49496509;-289,6223521;899,3030374;2618379,743;341643;-334376,6477;6865,594736;0,187672522;0,000494008;-0,183680944;32,4694123;0,003771432;19,10517033;1;32,4694123;29,82962574;1,303929146;1,871138253;0,670159111;50,52896609;3020,917458;1,52E-05;0,13098691
698;699;107265;253593;43508;499500;139344;162000;3069336;63147000;790980;1665060;0;2517000;3069336;7127,176582;52,0606036;9633,771401;175,6556025;57,34840099;-392,5990127;671,3187672;2517175,656;800844;-783904,884;7127,176582;0,260917671;0,000218718;-0,25539885;20,57350515;0,002322058;11,81701635;1;20,57350515;37,92475947;0,542482152;inf;inf;1489,658454;7136,144224;1,06E-05;0,094191404
699;700;118842;297154;54028;528000;167409;128800;3477682;434723;768148;1516223;7245000;1899000;3477682;-633,5207842;94,69872678;-906,9450154;140,117247;-11,23411008;223,8128684;1271,870286;9144140,117;-6420791;-768876,2195;-633,5207842;-1,84628468;0,000365724;-0,221088708;0,125003666;-0,000182168;-2,869802307;0;0,125003666;0,286714421;2,519270882;0,113762457;0,04088461;36,10990597;-96451,90265;0,002925703;-2,007622036
700;701;100139;28223;55369;483100;439312;587500;3658798;481838;950119;1139637;5861000;44430;3658798;-464,2534472;96,11653134;214,3122777;-981;11,02373796;84,54770822;635,647553;5904449;-4351088;-950679,37;-464,2534472;-1,189212413;0,000173731;-0,259833795;0,131692977;-0,000126887;-2,205374297;0;0,131692977;0,422799541;1,91337073;0,257620201;0,175193994;29,28488866;-345390,8225;0,001319214;-1,369182193
701;702;90482;25480;23425;0;498772;269600;3925073;538512;3428;408170;4876000;42427;3925073;-411,0105312;104,6675214;-51,89180317;-591;33,009263;89,4818192;809,9460826;4917836;-4107628;-3943,678053;-411,0105312;-1,046509963;0,000206352;-0,00100474;0,137197958;-0,000104714;-1,176624645;0;0,137197958;1,319332631;1,346260312;0,157582445;0,157582445;40,4133191;-442937,0203;0,001504045;-1,97062124
702;703;76823;23569;6181;0;469093;909100;0;647219;3447;402235;4081000;62239;0;454,0751916;112,9201449;161,9169269;-853;46,1184929;80,80207622;646,3789488;4142386;-2702807;-3105,844953;454,0751916;#NOM?;inf;#NOM?;inf;inf;;0;inf;1,609056895;inf;0,33770963;0,33770963;169,7870895;377071,7894;0,000998702;1,423506417
703;704;199600;25269;8908;23655;441786;1155300;39849000;879454;3277;526938;0;76318;39849000;-8263,904627;104,9455136;-485,0174442;71,75138114;106,9846743;-157,8961124;296,2612141;76389,75138;1620741;-11645,85014;-8263,904627;0,040672062;7,43E-06;-0,000292249;0,022069663;-0,00020738;0,060886877;0;0,022069663;1,668989521;0,013223368;inf;inf;157,8796587;-19512,79659;0,000336869;-0,035850028
704;705;190200;25482;10968;28774;304070;38478;42259000;1044874;0;303332;120;94344;42259000;-8751,836794;103,6346292;-417,9475085;68,69600726;106,2186959;-232,7752635;575,2628097;94532,69601;371202;-8855,471424;-8751,836794;0,008783975;1,36E-05;-0,000209552;0,024725479;-0,0002071;0,024496492;0;0,024725479;3,444654702;0,007180766;3094,35;2854,566667;122,9217724;-12681,40079;0,000550557;-0,065730523
705;706;253500;25614;6888;0;234559;29578;45003000;1177629;2749;402600;840;78325;45003000;-9338,608841;100,0900074;-483,5435045;71,29447979;105,8111126;-227,2194144;573,3674392;79236,29448;263297;-12187,69885;-9338,608841;0,005850654;1,27E-05;-0,00027082;0,026167789;-0,000207511;0,02163808;0;0,026167789;2,925059613;0,008964736;314,4488095;314,4488095;229,4176829;-9167,750407;0,000486883;-0,061397522
706;707;273000;90256;6867;0;90223;73108;49482000;1482917;2819;398900;202;84484;49482000;-10273,11673;95,85683152;-564,9141277;78,41029919;104,9970043;-219,9551524;572;84764,4103;163129;-13187,97356;-10273,11673;0,003296734;1,16E-05;-0,000266521;0,029968817;-0,000207613;0,020866424;0;0,029968817;3,717515668;0,0080656;808,5693069;808,5693069;274,0377166;-3205,589488;0,000385726;-0,055679305
707;708;777367;82618;6919;0;69649;0;43234000;1378424;2893;338300;443;98923;43234000;-8895,899153;92,94679371;-384,7914553;87,89223634;105,7004147;-207,7211104;563,3170997;99453,89224;69206;-11881,84595;-8895,899153;0,001600731;1,30E-05;-0,000274826;0,03188287;-0,000205762;0,019956151;0;0,03188287;4,07456104;0,007835107;157,221219;157,221219;248,117358;-2857,708317;0,000408668;-0,063323234
708;709;1075590;120700;7067;0;1132700;6982;44383000;1396319;4892;751600;112001;91186;44383000;-9199,249747;86,01441555;-588,2790546;40,57322216;105,3869062;-215,9295721;319,2528865;203227,5732;1027681;-14177,26416;-9199,249747;0,023154834;7,19E-06;-0,00031943;0,031460672;-0,00020727;0,045410886;0;0,031460672;1,85779537;0,019457923;10,17564129;10,17564129;303,9364653;-44942,30631;0,000228639;-0,034704231
709;710;1028304;129000;7711;0;1137800;7124;46878000;1464337;37680;1126947;121884;115391;46878000;-9785,803721;84,13271112;-712,8006399;35,68859948;104,4800757;-213,2746209;321,7294373;237310,6886;1023040;-47549,93643;-9785,803721;0,021823457;6,86E-06;-0,001014334;0,03123719;-0,00020875;0,041384019;0;0,03123719;1,299384088;0,026640023;9,393554527;9,393554527;336,0503177;-42438,72163;0,00021971;-0,03287716
710;711;999326;144700;17300;0;1091000;6599;46217000;0;37358;1729928;151252;73495;46217000;-9896,240175;85,80923187;-1010,864959;29,49924296;104,4490966;-198,3661972;350,8523856;224776,4992;946347;-47340,04941;-9896,240175;0,020476167;7,59E-06;-0,001024299;0;-0,000214126;0,020987714;0;0;0;0,040703204;7,256756935;7,256756935;99,99583815;-40239,01936;inf;-0,035453099
711;712;3238;463800;19000;296800;1074300;7626;6687200;35366757;46585;1796406;709910;168371;6687200;3067,827177;78,1006462;5562,651637;81,77835173;70,3978196;-303,4720582;369,8845792;878362,7784;668816;-43595,27347;3067,827177;0,100014356;5,53E-05;-0,006519212;5,288724279;0,000458761;3,272274594;1;5,288724279;19,68750772;0,374793037;1,942113789;1,524032624;1955,955947;127816,685;1,05E-05;0,12056891
712;713;3712;99920;40900;276300;1370872;29190;7076500;30542801;0;2036151;2004400;285900;7076500;2350,968774;76,49544583;4417,06452;69,05879149;53,39689083;-198,2357189;460,3503143;2290369,059;-328038;2274,473329;2350,968774;-0,046355967;6,51E-05;0,000321412;4,316088603;0,000332222;2,535509958;1;4,316088603;15,00026324;0,570981559;0,83634105;0,698494313;796,5513936;212834,9323;1,51E-05;0,195813028
713;714;3175;180444;60300;355700;1850370;25349;7815400;21136747;14354000;42276;2762100;268800;7815400;1255,059274;74,73097775;13495,85074;113,5894052;32,30253817;-1527,076109;-2626,423637;3031013,589;-530681;-14352819,67;1255,059274;-0,067901963;-0,000336057;-1,836479217;2,704499706;0,000160588;-4,51947384;0;2,704499706;499,9703614;0,358826931;0,807870461;0,679091633;351,2275788;538130,0024;-0,000124259;-2,092669001
714;715;0;174085;63054;431300;1877875;38997;9270000;11152287;13288000;66027;2924000;294900;9270000;-317,2535626;88,14042788;11080,0437;93,941387;37,88785712;-1391,007445;-2331,949388;3218993,941;-575828;-13288405,39;-317,2535626;-0,062117368;-0,000251559;-1,43348494;1,203051456;-3,42E-05;-4,083596676;0;1,203051456;168,904948;0,322548759;0,803068399;0,655564979;177,9159768;-2160493,863;-0,000209101;7,350427744
715;716;9574;513215;70225;306350;1916910;25526;877262;19942000;13534000;57608;3212200;286300;877262;2622,61775;79,73172613;12907,7199;112,8104142;28,92682694;-1420,077741;-2443,025246;3498612,81;-963414;-13531457,11;2622,61775;-1,098205553;-0,00278483;-15,4246475;22,73209144;0,002989549;-38,58083776;0;22,73209144;346,167199;3,727287857;0,700076583;0,604705809;284,7932787;266783,8841;-0,000122507;-0,931521662
716;717;9340;6398;51291;937393;59610;2927000;918083;22264000;13294000;0;876;780008;918083;2851,036017;97,93297863;13120,46329;198,9813835;69,93708433;-1364,660476;-2671,912572;781082,9814;3923127;-13291246,9;2851,036017;4,273172469;-0,002910317;-14,47717352;24,25053073;0,003105423;-28,09751624;0;24,25053073;inf;0,000954162;4479,455479;3409,372146;434,0722544;7631,488999;-0,00012001;-0,937172507
717;718;9166;9057;52235;1049371;54029;2708000;1117878;23140000;925;5389;6349;990477;1117878;2893,44607;109,4879259;3578,471434;149,0100346;85,55036063;-127,108184;234,0712262;996975,01;3805051;1858,958144;2893,44607;3,40381598;0,000209389;0,001662935;20,69993327;0,002588338;16,5129083;1;20,69993327;4293,932084;0,010500251;600,3150102;435,0337061;443,1011582;6815,604826;1,01E-05;0,080897041
718;719;16794;9711;11018;1244896;75239;2901000;1094554;23727000;105;3709;4958;1101956;1094554;2952,954791;109,4220258;3561,698234;149,4289413;83,29598186;-120,305679;209,0163357;1107063,429;4216177;2738,532765;2952,954791;3,85195888;0,00019096;0,002501962;21,67732245;0,002697861;17,63996581;1;21,67732245;6397,142087;0,007918294;851,3785801;600,290238;2153,812761;9299,917182;8,81E-06;0,070782098
719;720;14776;0;11513;0;0;2027000;0;6225000;44;0;0;1141349;0;1067,90396;136,1735187;1227,916924;123,9323319;107,5539432;-88,15932324;489,7412377;1141472,932;2027000;887,7304413;1067,90396;inf;inf;inf;inf;inf;inf;1;inf;inf;;inf;inf;540,6931295;0;7,87E-05;0,458600451
720;721;18367;68904;11861;0;25160;109286;263217;5828000;127;0;35927;21829;263217;1045,540265;132,1214091;1761,102628;99,2959999;7;-246,8300098;691,7687873;57855,296;98519;786,4188558;1045,540265;0,374288135;0,002628131;0,002987721;22,14142704;0,003972161;13,75151301;1;22,14142704;inf;0,136491944;3,74219946;3,74219946;491,3582329;8783,401565;0,000118697;0,661637634
721;722;18082;67162;0;0;31271;119957;264042;6374000;0;246270;50320;22159;264042;1083,225037;130,9828763;1795,189487;97,22947229;105,3732745;-242,9352207;689,4578967;72576,22947;100908;952,2421611;1083,225037;0,382166474;0,002611168;0,003606404;24,14009892;0,004102472;14,96231836;1;24,14009892;25,88216185;1,123268268;3,005325914;3,005325914;inf;10536,97487;0,000108167;0,636486301
722;723;0;62126;594;0;30463;175308;266369;6177000;365428;402217;55380;23337;266369;1038,216428;130,9271368;1993,622321;97,05795097;104,7920075;-270,7125445;606,8977481;78814,05795;150391;-364520,7107;1038,216428;0,564596481;0,00227841;-1,368480231;23,18963543;0,003897662;10,08239971;1;23,18963543;15,35738171;1,717906363;3,715619357;3,715619357;11076,1229;10709,70821;9,83E-05;0,584558028
